x-axis,F1
Hertz,dBV
+11.95000E+03,-104.93774E+00
+12.00000E+03,-90.58716E+00
+12.05000E+03,-98.27759E+00
+12.10000E+03,-108.43872E+00
+12.15000E+03,-101.65894E+00
+12.20000E+03,-100.72632E+00
+12.25000E+03,-99.71313E+00
+12.30000E+03,-107.31323E+00
+12.35000E+03,-101.77124E+00
+12.40000E+03,-99.55933E+00
+12.45000E+03,-103.12134E+00
+12.50000E+03,-102.48901E+00
+12.55000E+03,-114.42017E+00
+12.60000E+03,-103.79517E+00
+12.65000E+03,-96.98120E+00
+12.70000E+03,-98.56567E+00
+12.75000E+03,-101.61011E+00
+12.80000E+03,-105.84351E+00
+12.85000E+03,-105.32837E+00
+12.90000E+03,-104.37866E+00
+12.95000E+03,-97.17651E+00
+13.00000E+03,-67.38403E+00
+13.05000E+03,-88.46558E+00
+13.10000E+03,-98.18726E+00
+13.15000E+03,-104.01001E+00
+13.20000E+03,-109.80103E+00
+13.25000E+03,-97.50610E+00
+13.30000E+03,-105.69946E+00
+13.35000E+03,-95.19653E+00
+13.40000E+03,-101.21704E+00
+13.45000E+03,-109.23218E+00
+13.50000E+03,-104.42993E+00
+13.55000E+03,-104.17358E+00
+13.60000E+03,-89.88892E+00
+13.65000E+03,-101.83472E+00
+13.70000E+03,-110.97778E+00
+13.75000E+03,-107.99683E+00
+13.80000E+03,-112.08862E+00
+13.85000E+03,-99.57397E+00
+13.90000E+03,-99.15894E+00
+13.95000E+03,-99.96948E+00
+14.00000E+03,-102.08862E+00
+14.05000E+03,-94.70581E+00
+14.10000E+03,-112.46460E+00
+14.15000E+03,-95.55054E+00
+14.20000E+03,-108.58032E+00
+14.25000E+03,-97.93335E+00
+14.30000E+03,-107.98950E+00
+14.35000E+03,-100.70190E+00
+14.40000E+03,-102.87231E+00
+14.45000E+03,-96.69067E+00
+14.50000E+03,-98.28003E+00
+14.55000E+03,-103.85376E+00
+14.60000E+03,-103.97827E+00
+14.65000E+03,-99.00269E+00
+14.70000E+03,-104.74487E+00
+14.75000E+03,-107.53052E+00
+14.80000E+03,-96.09497E+00
+14.85000E+03,-102.44019E+00
+14.90000E+03,-97.30591E+00
+14.95000E+03,-102.43286E+00
+15.00000E+03,-78.64380E+00
+15.05000E+03,-93.28247E+00
+15.10000E+03,-101.65405E+00
+15.15000E+03,-110.64331E+00
+15.20000E+03,-98.22876E+00
+15.25000E+03,-110.42358E+00
+15.30000E+03,-100.38940E+00
+15.35000E+03,-97.80640E+00
+15.40000E+03,-97.66724E+00
+15.45000E+03,-107.86987E+00
+15.50000E+03,-111.93481E+00
+15.55000E+03,-102.00073E+00
+15.60000E+03,-104.48364E+00
+15.65000E+03,-102.44751E+00
+15.70000E+03,-103.59985E+00
+15.75000E+03,-109.14917E+00
+15.80000E+03,-98.83423E+00
+15.85000E+03,-97.43042E+00
+15.90000E+03,-95.69702E+00
+15.95000E+03,-104.69604E+00
+16.00000E+03,-104.90845E+00
+16.05000E+03,-99.05640E+00
+16.10000E+03,-97.46704E+00
+16.15000E+03,-109.62524E+00
+16.20000E+03,-103.26782E+00
+16.25000E+03,-108.58032E+00
+16.30000E+03,-98.18970E+00
+16.35000E+03,-98.42163E+00
+16.40000E+03,-100.68970E+00
+16.45000E+03,-97.54761E+00
+16.50000E+03,-94.75952E+00
+16.55000E+03,-100.14771E+00
+16.60000E+03,-96.14380E+00
+16.65000E+03,-100.83862E+00
+16.70000E+03,-107.63550E+00
+16.75000E+03,-101.44409E+00
+16.80000E+03,-97.88940E+00
+16.85000E+03,-99.41772E+00
+16.90000E+03,-102.70630E+00
+16.95000E+03,-97.34253E+00
+17.00000E+03,-83.34106E+00
+17.05000E+03,-94.85718E+00
+17.10000E+03,-98.82690E+00
+17.15000E+03,-100.76782E+00
+17.20000E+03,-99.21509E+00
+17.25000E+03,-100.56274E+00
+17.30000E+03,-101.55151E+00
+17.35000E+03,-102.63306E+00
+17.40000E+03,-110.64819E+00
+17.45000E+03,-100.98755E+00
+17.50000E+03,-104.25171E+00
+17.55000E+03,-102.49146E+00
+17.60000E+03,-104.86206E+00
+17.65000E+03,-100.68970E+00
+17.70000E+03,-102.55249E+00
+17.75000E+03,-104.84985E+00
+17.80000E+03,-104.00757E+00
+17.85000E+03,-100.10864E+00
+17.90000E+03,-104.12231E+00
+17.95000E+03,-98.78052E+00
+18.00000E+03,-110.34302E+00
+18.05000E+03,-100.07690E+00
+18.10000E+03,-95.75562E+00
+18.15000E+03,-99.43726E+00
+18.20000E+03,-113.57300E+00
+18.25000E+03,-103.00903E+00
+18.30000E+03,-103.65601E+00
+18.35000E+03,-105.69214E+00
+18.40000E+03,-102.30347E+00
+18.45000E+03,-102.95776E+00
+18.50000E+03,-104.01733E+00
+18.55000E+03,-107.45483E+00
+18.60000E+03,-96.27319E+00
+18.65000E+03,-110.40405E+00
+18.70000E+03,-105.13550E+00
+18.75000E+03,-99.23218E+00
+18.80000E+03,-100.96558E+00
+18.85000E+03,-97.83081E+00
+18.90000E+03,-93.44849E+00
+18.95000E+03,-123.13599E+00
+19.00000E+03,-87.30347E+00
+19.05000E+03,-88.24585E+00
+19.10000E+03,-98.08228E+00
+19.15000E+03,-106.86646E+00
+19.20000E+03,-104.40308E+00
+19.25000E+03,-108.45337E+00
+19.30000E+03,-99.43726E+00
+19.35000E+03,-99.83276E+00
+19.40000E+03,-99.60815E+00
+19.45000E+03,-109.55688E+00
+19.50000E+03,-99.47876E+00
+19.55000E+03,-106.21460E+00
+19.60000E+03,-96.68091E+00
+19.65000E+03,-107.83569E+00
+19.70000E+03,-105.37231E+00
+19.75000E+03,-101.61255E+00
+19.80000E+03,-95.70923E+00
+19.85000E+03,-94.55688E+00
+19.90000E+03,-97.31567E+00
+19.95000E+03,-108.14819E+00
+20.00000E+03,-96.91284E+00
+20.05000E+03,-98.78540E+00
+20.10000E+03,-105.22583E+00
+20.15000E+03,-106.81519E+00
+20.20000E+03,-111.75659E+00
+20.25000E+03,-97.61108E+00
+20.30000E+03,-107.37427E+00
+20.35000E+03,-103.05298E+00
+20.40000E+03,-102.73804E+00
+20.45000E+03,-122.18140E+00
+20.50000E+03,-100.02563E+00
+20.55000E+03,-103.67065E+00
+20.60000E+03,-98.63403E+00
+20.65000E+03,-100.62866E+00
+20.70000E+03,-101.91528E+00
+20.75000E+03,-102.24487E+00
+20.80000E+03,-107.56226E+00
+20.85000E+03,-115.12573E+00
+20.90000E+03,-101.07788E+00
+20.95000E+03,-100.00854E+00
+21.00000E+03,-85.60669E+00
+21.05000E+03,-85.81421E+00
+21.10000E+03,-101.34399E+00
+21.15000E+03,-100.02075E+00
+21.20000E+03,-108.17017E+00
+21.25000E+03,-99.79370E+00
+21.30000E+03,-100.87524E+00
+21.35000E+03,-91.61011E+00
+21.40000E+03,-101.62476E+00
+21.45000E+03,-98.17749E+00
+21.50000E+03,-98.62427E+00
+21.55000E+03,-94.11987E+00
+21.60000E+03,-107.61353E+00
+21.65000E+03,-109.71558E+00
+21.70000E+03,-100.10132E+00
+21.75000E+03,-108.46558E+00
+21.80000E+03,-102.87476E+00
+21.85000E+03,-111.73706E+00
